date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:06	36931/36931	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:31:05%20GMT	https://playerzpot.com/playerzpot-app-download	C:/Users/Real11/Desktop/test/playerzpot.com/playerzpot-app-download.html	(from )
16:01:06	69/69	---M--	200	added ('OK')	text/plain	etag:%225c5bd36e-45%22	https://playerzpot.com/robots.txt		(from )
16:01:07	7813/7813	---M--	200	added ('OK')	image/png	etag:%225cde85d4-1e85%22	https://cdn.playerzpot.com/images/playerzpot-web-new-logos.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/playerzpot-web-new-logos.png	(from https://playerzpot.com/playerzpot-app-download)
16:01:07	106359/106359	---M--	200	added ('OK')	image/png	etag:%225cde85ef-19f77%22	https://cdn.playerzpot.com/images/center_banner_web.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/center_banner_web.png	(from https://playerzpot.com/playerzpot-app-download)
16:01:08	721/721	---M--	200	added ('OK')	image/png	etag:%225e253ad1-2d1%22	https://cdn.playerzpot.com/images/ppm-fav.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/ppm-fav.png	(from https://playerzpot.com/playerzpot-app-download)
16:01:08	99961/99961	---M-Z	200	added ('OK')	text/css	etag:%221544639646%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.1.1/css/bootstrap.min.css	C:/Users/Real11/Desktop/test/maxcdn.bootstrapcdn.com/bootstrap/3.1.1/css/bootstrap.min.css	(from https://playerzpot.com/playerzpot-app-download)
16:01:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Feb%202021%2010:31:08%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/Real11/Desktop/test/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.5.delayed	(from https://playerzpot.com/playerzpot-app-download)
16:01:10	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/Real11/Desktop/test/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://playerzpot.com/playerzpot-app-download)
16:01:11	127425/127425	---MCZ	200	added ('OK')	text/css	etag:W/%225fec42ac-1f1c1%22	https://playerzpot.com/desktop_assets/css/playerzpot.min.css?v=3.4.0	C:/Users/Real11/Desktop/test/playerzpot.com/desktop_assets/css/playerzpot.mind797.css	(from https://playerzpot.com/playerzpot-app-download)
16:01:11	98932/98932	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:31:10%20GMT	https://playerzpot.com/fantasy-sports-app-download	C:/Users/Real11/Desktop/test/playerzpot.com/fantasy-sports-app-download.html	(from https://playerzpot.com/playerzpot-app-download)
16:01:12	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Real11/Desktop/test/www.google-analytics.com/analytics.js	(from https://playerzpot.com/playerzpot-app-download)
16:01:12	84637/84637	---MC-	200	added ('OK')	application/javascript	date:Wed,%2010%20Feb%202021%2009:00:00%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-T5BSZKS	C:/Users/Real11/Desktop/test/www.googleoptimize.com/optimize195b.js	(from https://playerzpot.com/playerzpot-app-download)
16:01:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2010%20Feb%202021%2010:31:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Real11/Desktop/test/www.googletagmanager.com/gtm.b5445.delayed	(from https://playerzpot.com/playerzpot-app-download)
